hashtag,count,sentiment,date
#truth,1,-0.6908,2016-03-25
#respect,1,0.6114,2016-03-25
#myfirstTweet,1,0.0,2016-03-25
#FukiCommune,1,0.0,2016-03-25
#ITT16,1,0.5719,2016-03-25
#PagsubokGMA7APT,1,0.296,2016-03-25
#TrumpLovesPecker,3,0.39333333333333337,2016-03-25
#Lovatics,1,0.0,2016-03-25
#pip,1,0.0,2016-03-25
#ameba,1,0.0,2016-03-25
#betabookings,1,0.0,2016-03-25
#otc,1,0.0,2016-03-25
#BatmanvSuperman,3,0.07936666666666667,2016-03-25
#Phillies,2,0.0,2016-03-25
#OrgullososDeSerComunistas,2,-0.2233,2016-03-25
#goodsmile,1,0.0,2016-03-25
#Network,1,0.0,2016-03-25
#birdoftheweek,1,0.5859,2016-03-25
#gunsfan,1,0.0,2016-03-25
#Lecce,1,0.0,2016-03-25
#Pasqua,1,0.0,2016-03-25
#TedCruz,2,-0.47475,2016-03-25
#Fuki,1,0.0,2016-03-25
#LuanNaExpoLondrina,1,0.5411,2016-03-25
#happy,1,0.7959,2016-03-25
#cherry,1,-0.5994,2016-03-25
#FLEXSQUADENT,1,0.0,2016-03-25
#Cuse,1,0.0,2016-03-25
#Sweet16,6,-0.24101666666666666,2016-03-25
#SelenaGomez,6,0.08510000000000001,2016-03-25
#CyberNationInTheNews,1,0.1509,2016-03-25
#klausvive,1,0.0,2016-03-25
#Talleres,1,0.0,2016-03-25
#Gopies,1,0.6562,2016-03-25
#basketball,1,0.2263,2016-03-25
#funfriday,1,0.0,2016-03-25
#pso2_ship04,1,0.0,2016-03-25
#Caribana,1,0.3612,2016-03-25
#Tr,1,0.0,2016-03-25
#Isles,1,0.0,2016-03-25
#jim,1,0.0,2016-03-25
#KrvNijeVoda,1,0.0,2016-03-25
#fb,1,0.0,2016-03-25
#iHearAwards,1,0.516,2016-03-25
#UROCK,1,0.0,2016-03-25
#MBFelicitaATati,1,-0.296,2016-03-25
#sougofollow,1,0.0,2016-03-25
#deuces,1,0.0,2016-03-25
#horribleofficiating,1,0.0431,2016-03-25
#NoFearZone,1,0.0,2016-03-25
#feriadoemfamilia,1,0.0,2016-03-25
#BernieOrBust,1,0.5972,2016-03-25
#Turkish,1,-0.4404,2016-03-25
#NC_ML,1,0.0,2016-03-25
#WinterIsComing,1,0.0,2016-03-25
#jishin,1,0.0,2016-03-25
#FollowMeCarlos,1,0.0,2016-03-25
#eigo,1,0.0,2016-03-25
#aboutlastnight,1,0.0,2016-03-25
#Exposed,1,0.875,2016-03-25
#download,1,0.0,2016-03-25
#hotgirls,1,-0.5574,2016-03-25
#ilovetoeat,1,0.0,2016-03-25
#invest,1,0.0,2016-03-25
#39,1,0.6988,2016-03-25
#cookers,1,0.0,2016-03-25
#liveonstreamate,1,0.4588,2016-03-25
#CubanMistressCrisis,1,-0.7378,2016-03-25
#TL,1,0.0,2016-03-25
#TaylorSwiftBlankSpace,3,0.06743333333333333,2016-03-25
#TeamBreezy,1,0.0,2016-03-25
#36,1,0.0,2016-03-25
#barnsleyisbrill,1,0.0,2016-03-25
#Tocopilla,1,0.0,2016-03-25
#HB2,1,0.296,2016-03-25
#keiba,1,0.0,2016-03-25
#Brasil,5,-0.059199999999999996,2016-03-25
#SXSW,1,0.8452,2016-03-25
#CUCCIFRIDAY,1,0.6124,2016-03-25
#Pokemon20,1,0.0,2016-03-25
#hunho,1,0.0,2016-03-25
#dessert,1,0.0,2016-03-25
#NCAAHockey,1,0.0,2016-03-25
#suck,1,-0.3182,2016-03-25
#InTheMix,1,0.0,2016-03-25
#nevertrump,2,0.829,2016-03-25
#teamsaviors,1,0.0,2016-03-25
#call,1,0.0,2016-03-25
#vanilla,1,0.0,2016-03-25
#PRAYFORJUSTIN,1,0.5754,2016-03-25
#LILLE,1,0.0,2016-03-25
#CapitalsTalk,1,0.8559,2016-03-25
#muslim,1,-0.6166,2016-03-25
#IRENE,1,0.0,2016-03-25
#LaAdoraci,1,0.0,2016-03-25
#BlueJays,1,0.0,2016-03-25
#fabiojr,1,0.0,2016-03-25
#furry,1,0.0,2016-03-25
#columbuscircle,1,0.0,2016-03-25
#truetalent,1,0.7783,2016-03-25
#Elite8,9,0.04885555555555557,2016-03-25
#HQ,1,0.0,2016-03-25
#HR,1,0.0,2016-03-25
#Yahoo,2,0.0,2016-03-25
#aokana_anime,1,0.0,2016-03-25
#Superman,1,0.6124,2016-03-25
#Perfect,1,-0.4243,2016-03-25
#RobinofSherwood,1,0.636,2016-03-25
#MOCA,1,-0.5267,2016-03-25
#BestFanArmy,73,0.016405479452054793,2016-03-25
#Rampage,1,0.0,2016-03-25
#VAMOSARRIBALACELESTE,1,0.0,2016-03-25
#VIDEO,1,0.0,2016-03-25
#mobile,1,0.3147,2016-03-25
#welcomeback,1,0.5574,2016-03-25
#Capricorn,1,0.3802,2016-03-25
#Boom,1,0.0,2016-03-25
#FF,5,0.07224,2016-03-25
#ChooseCruz,1,0.2244,2016-03-25
#ABEST15th,1,0.5859,2016-03-25
#SBAP,1,0.0,2016-03-25
#Random,1,0.636,2016-03-25
#disturbingthepeace,1,-0.2023,2016-03-25
#baekhyun,1,0.0,2016-03-25
#BirdieSanders,13,0.20133076923076926,2016-03-25
#relojes,1,0.0,2016-03-25
#FIBR3,1,0.0,2016-03-25
#EasterEggHunt,1,0.4404,2016-03-25
#doubleyum,1,0.0,2016-03-25
#Uruguay,3,0.0,2016-03-25
#999TBS,2,0.0,2016-03-25
#f4f,1,0.7959,2016-03-25
#asus,1,0.0,2016-03-25
#pixelgun3d,1,0.3147,2016-03-25
#PARTY,1,-0.7819,2016-03-25
#SaaS,1,0.0,2016-03-25
#falaroadto10k,1,0.0,2016-03-25
#porno,1,0.0,2016-03-25
#3d,1,0.3147,2016-03-25
#Eliminatoria,1,0.0,2016-03-25
#URBA,1,0.0,2016-03-25
#AXNKOREA,1,0.0,2016-03-25
#sunset,1,0.0,2016-03-25
#EsposoLindo,1,0.0,2016-03-25
#romance,2,-0.26395,2016-03-25
#confidential,1,0.0,2016-03-25
#WomenInBiz,1,0.6486,2016-03-25
#MentirasDeMexicanos,1,0.0,2016-03-25
#NigelCabourn,1,0.0,2016-03-25
#gold,1,0.0,2016-03-25
#Scotland,1,0.0,2016-03-25
#Leather,1,0.0,2016-03-25
#PurposeTourLasVegas,3,0.1468,2016-03-25
#American,1,0.0,2016-03-25
#Azaria,1,0.296,2016-03-25
#options,1,0.0,2016-03-25
#Irish,2,0.20995,2016-03-25
#NeverTrump,1,-0.5106,2016-03-25
#ImWithHer,2,0.0,2016-03-25
#kattun,3,0.0,2016-03-25
#BaeInTheCityCT,1,-0.5335,2016-03-25
#snapback,1,0.0,2016-03-25
#gay,1,0.0,2016-03-25
#Wisconsin,3,0.12390000000000001,2016-03-25
#KARMALAND2,1,0.0,2016-03-25
#curta,1,0.0,2016-03-25
#lasele,1,0.0,2016-03-25
#cremebrulee,1,0.0,2016-03-25
#listenlive,1,0.0,2016-03-25
#26M,1,0.0,2016-03-25
#yum,1,0.0,2016-03-25
#YugBam,1,0.0,2016-03-25
#Drones,1,-0.7845,2016-03-25
#citybuilder,1,0.0,2016-03-25
#TuitUtil,6,0.07646666666666667,2016-03-25
#saigai,1,0.0,2016-03-25
#bonplan,1,0.0,2016-03-25
#TMDK,1,0.4215,2016-03-25
#DataScienc,1,0.0,2016-03-25
#GTOP,2,0.0,2016-03-25
#OneTennessee,1,0.3802,2016-03-25
#trumplovespecker,3,0.5526666666666666,2016-03-25
#ForIndiana,3,0.14003333333333332,2016-03-25
#CapsDevils,4,0.661,2016-03-25
#CuartaFase,1,0.0,2016-03-25
#Snapdragon,3,0.0,2016-03-25
#SiguemeYTeSigo,1,0.0,2016-03-25
#NuncaMas,3,0.13396666666666665,2016-03-25
#WeAreBernie,1,0.5972,2016-03-25
#LaTDAesNuestra,1,0.0,2016-03-25
#mexico,1,0.0,2016-03-25
#MAD_2016,1,0.0,2016-03-25
#DespertarContigo,1,0.0,2016-03-25
#WonderWoman,2,0.3062,2016-03-25
#health,1,0.765,2016-03-25
#necialani,1,0.0,2016-03-25
#CruzSe,1,0.807,2016-03-25
#NS2017,1,0.0,2016-03-25
#LikeIWould,1,0.0,2016-03-25
#SMAA,1,0.0,2016-03-25
#dank,1,0.0,2016-03-25
#sun,1,0.7959,2016-03-25
#Mississippi,1,0.4926,2016-03-25
#SQLpass,1,0.0,2016-03-25
#YodaWhispersInYourEar,1,0.0,2016-03-25
#UNCBBall,1,0.3182,2016-03-25
#ProInternet,1,0.0,2016-03-25
#mitsukibot,1,0.0,2016-03-25
#tshirt,1,0.0,2016-03-25
#MishaNaWarner,2,0.0,2016-03-25
#SoHappy,1,0.4404,2016-03-25
#Heat,1,0.5267,2016-03-25
#Vamosacalmarnos,1,0.0,2016-03-25
#impeachmentJa,1,0.0,2016-03-25
#Valencia,1,0.0,2016-03-25
#Jackson,1,0.0,2016-03-25
#MagnoliaPinasarapNgTamangPanahon,1,-0.6115,2016-03-25
#Canvas,1,0.0,2016-03-25
#BTS,5,0.0,2016-03-25
#nana,1,0.0,2016-03-25
#skincare,1,0.9022,2016-03-25
#st,1,-0.5362,2016-03-25
#retrogaming,1,0.1531,2016-03-25
#PatyCantuAN30Abril,5,0.12248,2016-03-25
#IggyAzalea,1,0.0,2016-03-25
#UnidosyOrganizados,1,0.0,2016-03-25
#apple,1,0.0,2016-03-25
#papiymamiatiempocompleto,1,0.0,2016-03-25
#MiSue,1,0.0,2016-03-25
#Mexico,1,-0.5216,2016-03-25
#EnergizaTuConciencia,1,0.0,2016-03-25
#Syria,1,0.0,2016-03-25
#Virginia,1,0.0,2016-03-25
#UptownFunk,355,0.07595859154929584,2016-03-25
#myVR,1,0.0,2016-03-25
#Licensed,1,0.0,2016-03-25
#kattwilliams,1,0.0,2016-03-25
#LIKEMIKE,1,-0.7819,2016-03-25
#PrayForPalestine,1,0.0,2016-03-25
#cruzsexscandal,1,0.0,2016-03-25
#27deabril,1,0.0,2016-03-25
#tournament,1,0.0431,2016-03-25
#business,1,0.0,2016-03-25
#Satchel,1,0.0,2016-03-25
#JFCJustinBieber,3,0.5464000000000001,2016-03-25
#Transito,1,0.0,2016-03-25
#RESCUE,1,-0.7378,2016-03-25
#arteradikalparajesus,1,0.0,2016-03-25
#Faculty,1,0.0,2016-03-25
#runner,1,0.0,2016-03-25
#Smh,1,0.0,2016-03-25
#JoseOrtegayGasset,1,-0.296,2016-03-25
#MANWITHAM,1,0.0,2016-03-25
#BestCover,408,0.08079313725490202,2016-03-25
#NotreDame,3,0.023966666666666653,2016-03-25
#EasterBunny,1,0.0,2016-03-25
#LTE,1,0.0,2016-03-25
#UnDescuidoYSeTerminaLaPatria,1,0.0,2016-03-25
#ConcordPD,1,0.0,2016-03-25
#itirafediyorum,1,0.0,2016-03-25
#Coffee101,1,0.0,2016-03-25
#GoIrish,2,-0.413,2016-03-25
#CANvMEX,1,0.0,2016-03-25
#stronggirls,1,0.8914,2016-03-25
#ViaCrucis,1,0.0,2016-03-25
#VOTA,1,0.2714,2016-03-25
#GuerreroMeEnamora,1,0.0,2016-03-25
#homecooked,1,0.0,2016-03-25
#QuePena,1,0.0,2016-03-25
#RTP1,1,0.0,2016-03-25
#KATTUN,1,0.0,2016-03-25
